,movie,year,rating,genre,runtime_min,imdb,metascore,votes,n_imdb
535,Scooby-Doo 2: Monsters Unleashed,2004,PG,"['Adventure', ' Comedy', ' Family']",93,5.2,34,60666,52
536,Paprika,2006,R,"['Animation', ' Drama', ' Fantasy']",90,7.7,81,86923,77
537,Lost in Space,1998,PG-13,"['Action', ' Adventure', ' Family']",130,5.2,42,73520,52
538,Resident Evil: Afterlife,2010,R,"['Action', ' Horror', ' Sci-Fi']",96,5.8,37,174636,58
539,The Purge: Election Year,2016,R,"['Action', ' Horror', ' Sci-Fi']",108,6,55,104566,60
540,A Scanner Darkly,2006,R,"['Animation', ' Comedy', ' Crime']",100,7,73,114081,70
541,If I Stay,2014,PG-13,"['Drama', ' Fantasy', ' Music']",107,6.7,46,125465,67
542,Fire in the Sky,1993,PG-13,"['Biography', ' Drama', ' Fantasy']",109,6.5,42,26218,65
543,Black Crab,2022,TV-MA,"['Action', ' Adventure', ' Drama']",114,5.7,54,23317,57
544,Solaris,1972,PG,"['Drama', ' Mystery', ' Sci-Fi']",167,8,93,93951,80
545,Perfect Sense,2011,R,"['Drama', ' Romance', ' Sci-Fi']",92,7,55,61595,70
546,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,PG,"['Adventure', ' Comedy', ' Sci-Fi']",103,6.2,70,27327,62
547,"Blind Willow, Sleeping Woman",2022,,"['Animation', ' Drama', ' Sci-Fi']",108,7.1,72,393,71
548,Transcendence,2014,PG-13,"['Action', ' Drama', ' Sci-Fi']",119,6.2,42,232704,62
549,eXistenZ,1999,R,"['Horror', ' Mystery', ' Sci-Fi']",97,6.8,68,102987,68
550,Morgan,2016,R,"['Action', ' Horror', ' Sci-Fi']",92,5.8,48,44596,58
551,DeepStar Six,1989,R,"['Action', ' Horror', ' Sci-Fi']",99,5.3,34,12467,53
552,Critters 2: The Main Course,1988,PG-13,"['Comedy', ' Horror', ' Sci-Fi']",86,5.5,48,15934,55
553,2010: The Year We Make Contact,1984,PG,"['Adventure', ' Mystery', ' Sci-Fi']",116,6.7,53,54860,67
554,Spies in Disguise,2019,PG,"['Animation', ' Action', ' Adventure']",102,6.8,54,52052,68
555,Heavy Metal,1981,R,"['Animation', ' Adventure', ' Fantasy']",86,6.6,51,36383,66
556,Westworld,1973,PG,"['Action', ' Sci-Fi', ' Thriller']",88,6.9,77,60355,69
557,Belle,2021,PG,"['Animation', ' Adventure', ' Drama']",121,7.1,83,14198,71
558,Zapped!,1982,R,"['Comedy', ' Fantasy', ' Sci-Fi']",98,4.9,10,7218,49
559,Predator 2,1990,R,"['Action', ' Horror', ' Sci-Fi']",108,6.3,46,173607,63
560,Land of the Lost,2009,PG-13,"['Action', ' Adventure', ' Comedy']",102,5.3,32,73000,53
561,Volcano,1997,PG-13,"['Action', ' Drama', ' Sci-Fi']",104,5.5,55,78666,55
562,Mary Shelley's Frankenstein,1994,R,"['Drama', ' Horror', ' Romance']",123,6.3,49,56956,63
563,Clifford the Big Red Dog,2021,PG,"['Animation', ' Adventure', ' Comedy']",96,5.9,55,14627,59
564,Oxygen,2021,TV-14,"['Drama', ' Fantasy', ' Sci-Fi']",100,6.5,67,41050,65
565,Phenomenon,1996,PG,"['Drama', ' Fantasy', ' Romance']",123,6.4,41,81290,64
566,How It Ends,2018,TV-MA,"['Action', ' Drama', ' Horror']",113,5,36,55239,50
567,The House with a Clock in Its Walls,2018,PG,"['Comedy', ' Family', ' Fantasy']",105,6,57,53235,60
568,Cowboys & Aliens,2011,PG-13,"['Action', ' Sci-Fi', ' Thriller']",119,6,50,225365,60
569,Ron's Gone Wrong,2021,PG,"['Animation', ' Adventure', ' Comedy']",107,7,65,36427,70
570,Replicas,2018,PG-13,"['Drama', ' Sci-Fi', ' Thriller']",107,5.4,19,39989,54
572,Gamer,2009,R,"['Action', ' Sci-Fi', ' Thriller']",95,5.7,27,137060,57
573,Red Planet,2000,PG-13,"['Action', ' Sci-Fi', ' Thriller']",106,5.7,34,58892,57
574,Cloudy with a Chance of Meatballs 2,2013,PG,"['Animation', ' Adventure', ' Comedy']",95,6.3,59,107632,63
575,The Nutty Professor,1996,PG-13,"['Comedy', ' Romance', ' Sci-Fi']",95,5.7,62,120042,57
576,Little Monsters,2019,R,"['Comedy', ' Horror', ' Sci-Fi']",93,6.3,59,18191,63
577,Cell,2016,R,"['Action', ' Adventure', ' Horror']",98,4.4,38,28961,44
578,Hardcore Henry,2015,R,"['Action', ' Adventure', ' Sci-Fi']",96,6.7,51,98204,67
579,Freaks,2018,R,"['Drama', ' Mystery', ' Sci-Fi']",105,6.7,63,37001,67
580,Krull,1983,PG,"['Action', ' Adventure', ' Fantasy']",121,6.1,45,34681,61
581,Cargo,2017,TV-MA,"['Drama', ' Horror', ' Sci-Fi']",105,6.3,65,45442,63
582,After Earth,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",100,4.8,33,204370,48
583,Barb Wire,1996,R,"['Action', ' Sci-Fi']",98,3.5,40,30077,35
584,Jason X,2001,R,"['Action', ' Horror', ' Sci-Fi']",92,4.4,25,58375,44
585,Synchronic,2019,R,"['Drama', ' Horror', ' Mystery']",102,6.2,64,34110,62
586,Southland Tales,2006,R,"['Comedy', ' Drama', ' Mystery']",145,5.3,44,39574,53
587,The Man Who Fell to Earth,1976,R,"['Drama', ' Sci-Fi']",139,6.6,81,27445,66
588,Ice Age: Collision Course,2016,PG,"['Animation', ' Adventure', ' Comedy']",94,5.6,34,69835,56
589,Night of the Comet,1984,PG-13,"['Comedy', ' Horror', ' Sci-Fi']",95,6.3,59,22076,63
590,The Jacket,2005,R,"['Drama', ' Fantasy', ' Mystery']",103,7.1,44,116029,71
591,The Cave,2005,PG-13,"['Adventure', ' Horror', ' Sci-Fi']",97,5.1,30,40003,51
592,A Wrinkle in Time,2018,PG,"['Adventure', ' Family', ' Fantasy']",109,4.2,53,46143,42
593,From Beyond,1986,R,"['Horror', ' Sci-Fi']",85,6.6,60,27890,66
