,movie,year,rating,genre,runtime_min,imdb,metascore,votes,n_imdb
120,Coherence,2013,Not Rated,"['Drama', ' Mystery', ' Sci-Fi']",89,7.2,65,134414,72
121,Resident Evil: Welcome to Raccoon City,2021,R,"['Action', ' Horror', ' Sci-Fi']",107,5.2,44,57268,52
122,Life,2017,R,"['Horror', ' Sci-Fi', ' Thriller']",104,6.6,54,238174,66
123,Black Widow,2021,PG-13,"['Action', ' Adventure', ' Sci-Fi']",134,6.7,68,392741,67
124,The Hunger Games: Mockingjay - Part 2,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",137,6.5,65,339981,65
125,Mortal Kombat,2021,R,"['Action', ' Adventure', ' Fantasy']",110,6,44,179460,60
126,Battleship,2012,PG-13,"['Action', ' Adventure', ' Sci-Fi']",131,5.8,41,251478,58
127,About Time,2013,R,"['Comedy', ' Drama', ' Fantasy']",123,7.8,55,362091,78
128,The Tomorrow War,2021,PG-13,"['Action', ' Adventure', ' Drama']",138,6.5,45,212178,65
129,Pitch Black,2000,R,"['Action', ' Horror', ' Sci-Fi']",109,7.1,49,245771,71
130,Ant-Man,2015,PG-13,"['Action', ' Comedy', ' Sci-Fi']",117,7.3,64,687707,73
131,Vanilla Sky,2001,R,"['Fantasy', ' Mystery', ' Romance']",136,6.9,45,274622,69
132,Alita: Battle Angel,2019,PG-13,"['Action', ' Adventure', ' Sci-Fi']",122,7.3,53,276868,73
133,The Maze Runner,2014,PG-13,"['Action', ' Mystery', ' Sci-Fi']",113,6.8,57,480626,68
134,Spider-Man: Homecoming,2017,PG-13,"['Action', ' Adventure', ' Sci-Fi']",133,7.4,73,674473,74
135,Tomorrowland,2015,PG,"['Action', ' Adventure', ' Family']",130,6.4,60,185569,64
136,Sky High,2005,PG,"['Action', ' Comedy', ' Family']",100,6.3,62,90190,63
137,Man of Steel,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",143,7.1,55,783062,71
138,Vivarium,2019,R,"['Horror', ' Mystery', ' Sci-Fi']",97,5.8,64,63317,58
139,World War Z,2013,PG-13,"['Action', ' Adventure', ' Horror']",116,7,63,683981,70
140,Captain America: The First Avenger,2011,PG-13,"['Action', ' Adventure', ' Sci-Fi']",124,6.9,66,859950,69
141,The Circle,2017,PG-13,"['Drama', ' Sci-Fi', ' Thriller']",110,5.3,43,95559,53
142,Avengers: Age of Ultron,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",141,7.3,66,880119,73
143,Dawn of the Planet of the Apes,2014,PG-13,"['Action', ' Adventure', ' Drama']",130,7.6,79,449708,76
144,Predator,1987,R,"['Action', ' Adventure', ' Horror']",107,7.8,47,432329,78
145,Superman III,1983,PG,"['Action', ' Adventure', ' Comedy']",125,5,44,72080,50
146,Star Trek,2009,PG-13,"['Action', ' Adventure', ' Sci-Fi']",127,7.9,82,609040,79
147,Moonfall,2022,PG-13,"['Action', ' Adventure', ' Sci-Fi']",130,5.1,41,86523,51
148,The Lego Movie,2014,PG,"['Animation', ' Action', ' Adventure']",100,7.7,83,365704,77
149,Godzilla vs. Kong,2021,PG-13,"['Action', ' Sci-Fi', ' Thriller']",113,6.3,59,217563,63
150,Linoleum,2022,,"['Comedy', ' Drama', ' Sci-Fi']",101,6.6,80,733,66
151,Wonder Woman,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",141,7.4,76,671055,74
152,Morbius,2022,PG-13,"['Action', ' Adventure', ' Horror']",104,5.2,35,134748,52
153,Signs,2002,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",106,6.8,59,371363,68
154,Thor: Ragnarok,2017,PG-13,"['Action', ' Adventure', ' Comedy']",130,7.9,74,770147,79
155,Under the Skin,2013,R,"['Drama', ' Horror', ' Mystery']",108,6.3,80,148455,63
156,Alien: Covenant,2017,R,"['Horror', ' Sci-Fi', ' Thriller']",122,6.4,65,288182,64
157,V for Vendetta,2005,R,"['Action', ' Drama', ' Sci-Fi']",132,8.2,62,1136508,82
158,WALL·E,2008,G,"['Animation', ' Adventure', ' Family']",98,8.4,95,1136135,84
159,A.I. Artificial Intelligence,2001,PG-13,"['Drama', ' Sci-Fi']",146,7.2,65,313654,72
160,Terminator Genisys,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",126,6.3,38,283290,63
161,Resident Evil,2002,R,"['Action', ' Horror', ' Sci-Fi']",100,6.6,33,277283,66
162,Passengers,2016,PG-13,"['Drama', ' Romance', ' Sci-Fi']",116,7,41,418594,70
163,X-Men: Days of Future Past,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",132,7.9,75,722417,79
164,TRON: Legacy,2010,PG,"['Action', ' Adventure', ' Sci-Fi']",125,6.8,49,344164,68
165,X-Men: First Class,2011,PG-13,"['Action', ' Sci-Fi']",131,7.7,65,702334,77
166,Pixels,2015,PG-13,"['Action', ' Comedy', ' Fantasy']",105,5.6,27,149495,56
167,2012,2009,PG-13,"['Action', ' Adventure', ' Sci-Fi']",158,5.8,49,384731,58
168,Escape Room,2019,PG-13,"['Action', ' Adventure', ' Horror']",99,6.4,48,128672,64
169,Aquaman,2018,PG-13,"['Action', ' Adventure', ' Fantasy']",143,6.8,55,487571,68
170,Slither,2006,R,"['Comedy', ' Horror', ' Sci-Fi']",95,6.5,69,84990,65
171,Planet of the Apes,2001,PG-13,"['Action', ' Adventure', ' Sci-Fi']",119,5.7,50,222995,57
172,Men in Black,1997,PG-13,"['Action', ' Adventure', ' Comedy']",98,7.3,71,581143,73
173,Power Rangers,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",124,5.9,44,110645,59
174,Blade,1998,R,"['Action', ' Horror', ' Sci-Fi']",120,7.1,47,282589,71
175,The Hunger Games: Mockingjay - Part 1,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",123,6.6,64,468517,66
176,In Time,2011,PG-13,"['Action', ' Sci-Fi', ' Thriller']",109,6.7,53,420766,67
177,Spy Kids,2001,PG,"['Action', ' Adventure', ' Comedy']",88,5.6,71,121102,56
178,Dredd,2012,R,"['Action', ' Crime', ' Sci-Fi']",95,7.1,60,281209,71
179,X-Men: Apocalypse,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",144,6.9,52,443791,69
180,Knowing,2009,PG-13,"['Action', ' Mystery', ' Sci-Fi']",121,6.2,41,239042,62
181,Snowpiercer,2013,R,"['Action', ' Drama', ' Sci-Fi']",126,7.1,84,369676,71
182,Predestination,2014,R,"['Action', ' Drama', ' Sci-Fi']",97,7.4,69,289784,74
183,Venom,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",112,6.6,35,500697,66
184,The Chronicles of Riddick,2004,R,"['Action', ' Adventure', ' Sci-Fi']",119,6.6,38,234586,66
185,Pokémon: Detective Pikachu,2019,PG,"['Action', ' Adventure', ' Comedy']",104,6.5,53,169460,65
186,Despicable Me,2010,PG,"['Animation', ' Adventure', ' Comedy']",95,7.6,72,558131,76
187,Terminator: Dark Fate,2019,R,"['Action', ' Adventure', ' Sci-Fi']",128,6.2,54,183278,62
188,Planet of the Apes,1968,G,"['Adventure', ' Sci-Fi']",112,8,79,184335,80
189,Total Recall,1990,R,"['Action', ' Adventure', ' Sci-Fi']",113,7.5,60,339063,75
190,Bird Box,2018,R,"['Horror', ' Mystery', ' Sci-Fi']",124,6.6,51,355558,66
191,The Running Man,1987,R,"['Action', ' Sci-Fi', ' Thriller']",101,6.7,45,158214,67
192,The Day After Tomorrow,2004,PG-13,"['Action', ' Adventure', ' Sci-Fi']",124,6.4,47,458117,64
193,Spider-Man: Far from Home,2019,PG-13,"['Action', ' Adventure', ' Comedy']",129,7.4,69,510419,74
194,Cloud Atlas,2012,R,"['Drama', ' Mystery', ' Sci-Fi']",172,7.4,55,366586,74
195,Batman v Superman: Dawn of Justice,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",151,6.4,44,709566,64
196,Captain America: Civil War,2016,PG-13,"['Action', ' Sci-Fi']",147,7.8,75,805888,78
197,The Predator,2018,R,"['Action', ' Adventure', ' Horror']",107,5.3,48,137032,53
198,Army of the Dead,2021,R,"['Action', ' Crime', ' Drama']",148,5.7,57,177264,57
199,Kids vs. Aliens,2022,TV-MA,"['Horror', ' Sci-Fi']",75,5.3,51,458,53
200,Batman & Robin,1997,PG-13,"['Action', ' Sci-Fi']",125,3.7,28,258521,37
201,Armageddon,1998,PG-13,"['Action', ' Adventure', ' Sci-Fi']",151,6.7,42,434448,67
202,Incredibles 2,2018,PG,"['Animation', ' Action', ' Adventure']",118,7.6,80,306798,76
203,10 Cloverfield Lane,2016,PG-13,"['Drama', ' Horror', ' Mystery']",103,7.2,76,337741,72
204,Ant-Man and the Wasp,2018,PG-13,"['Action', ' Adventure', ' Comedy']",118,7,70,420149,70
205,X-Men: The Last Stand,2006,PG-13,"['Action', ' Adventure', ' Sci-Fi']",104,6.6,58,524961,66
206,28 Days Later,2002,R,"['Drama', ' Horror', ' Sci-Fi']",113,7.5,73,423173,75
207,RoboCop,1987,R,"['Action', ' Crime', ' Sci-Fi']",102,7.6,70,266015,76
208,Iron Man 3,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",130,7.1,62,864956,71
209,Venom: Let There Be Carnage,2021,PG-13,"['Action', ' Sci-Fi', ' Thriller']",97,5.9,49,234396,59
210,X-Men Origins: Wolverine,2009,PG-13,"['Action', ' Sci-Fi']",107,6.5,40,513608,65
211,12 Monkeys,1995,R,"['Mystery', ' Sci-Fi', ' Thriller']",129,8,74,627248,80
212,Spiderhead,2022,R,"['Action', ' Crime', ' Drama']",106,5.4,54,60849,54
213,Transformers: The Last Knight,2017,PG-13,"['Action', ' Adventure', ' Sci-Fi']",154,5.2,27,156796,52
214,Elysium,2013,R,"['Action', ' Drama', ' Sci-Fi']",109,6.6,61,455649,66
215,The Faculty,1998,R,"['Horror', ' Mystery', ' Sci-Fi']",104,6.6,61,127852,66
216,Lilo & Stitch,2002,PG,"['Animation', ' Adventure', ' Comedy']",85,7.3,73,197791,73
217,Gravity,2013,PG-13,"['Drama', ' Sci-Fi', ' Thriller']",91,7.7,96,838012,77
218,Minority Report,2002,PG-13,"['Action', ' Crime', ' Mystery']",145,7.6,80,562974,76
219,Smoking Causes Coughing,2022,Not Rated,"['Comedy', ' Horror', ' Sci-Fi']",77,6.6,74,1656,66
220,Spaceballs,1987,PG,"['Adventure', ' Comedy', ' Sci-Fi']",96,7.1,46,196367,71
221,The Purge,2013,R,"['Horror', ' Sci-Fi', ' Thriller']",85,5.7,41,229499,57
222,Ad Astra,2019,PG-13,"['Adventure', ' Drama', ' Mystery']",123,6.5,80,244431,65
223,War of the Worlds,2005,PG-13,"['Action', ' Adventure', ' Sci-Fi']",116,6.5,73,457880,65
224,Justice League,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",120,6.1,45,461025,61
225,Finch,2021,PG-13,"['Adventure', ' Drama', ' Sci-Fi']",115,6.9,57,87552,69
226,Kong: Skull Island,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",118,6.6,62,327824,66
227,Godzilla: King of the Monsters,2019,PG-13,"['Action', ' Adventure', ' Fantasy']",132,6,48,188932,60
228,Moonraker,1979,PG,"['Action', ' Adventure', ' Sci-Fi']",126,6.2,66,104161,62
229,Lightyear,2022,PG,"['Animation', ' Action', ' Adventure']",105,6.1,60,112108,61
230,Teenage Mutant Ninja Turtles,1990,PG,"['Action', ' Adventure', ' Comedy']",93,6.7,51,97079,67
231,Godzilla,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",123,6.4,62,421155,64
232,Okja,2017,TV-MA,"['Action', ' Adventure', ' Drama']",120,7.3,75,125683,73
233,Prospect,2018,R,"['Adventure', ' Drama', ' Sci-Fi']",100,6.3,68,30427,63
234,The Matrix Reloaded,2003,R,"['Action', ' Sci-Fi']",138,7.2,62,605817,72
235,The Lost World: Jurassic Park,1997,PG-13,"['Action', ' Adventure', ' Sci-Fi']",129,6.5,59,426871,65
236,District 9,2009,R,"['Action', ' Sci-Fi', ' Thriller']",112,7.9,81,692207,79
237,Doctor Strange,2016,PG-13,"['Action', ' Adventure', ' Fantasy']",115,7.5,72,760206,75
238,The Devil Conspiracy,2022,R,"['Horror', ' Sci-Fi', ' Thriller']",111,4.4,37,1424,44
239,X2: X-Men United,2003,PG-13,"['Action', ' Sci-Fi', ' Thriller']",134,7.4,68,558842,74
240,Wreck-It Ralph,2012,PG,"['Animation', ' Adventure', ' Comedy']",101,7.7,72,433718,77
241,Akira,1988,R,"['Animation', ' Action', ' Drama']",124,8,67,192286,80
242,Pacific Rim,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",131,6.9,65,510986,69
243,Bumblebee,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",114,6.7,66,172036,67
244,Cloverfield,2008,PG-13,"['Action', ' Adventure', ' Horror']",85,7,64,407001,70
245,The Fly,1986,R,"['Drama', ' Horror', ' Sci-Fi']",96,7.6,79,189567,76
246,Spider-Man 3,2007,PG-13,"['Action', ' Adventure', ' Sci-Fi']",139,6.3,59,603999,63
247,Star Trek Beyond,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",122,7,68,250817,70
248,Mad Max,1979,R,"['Action', ' Adventure', ' Sci-Fi']",88,6.8,73,212329,68
249,Upgrade,2018,R,"['Action', ' Sci-Fi', ' Thriller']",100,7.5,67,191670,75
250,Captain America: The Winter Soldier,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",136,7.8,70,861455,78
251,Transformers: Age of Extinction,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",165,5.6,32,319534,56
252,Limitless,2011,PG-13,"['Sci-Fi', ' Thriller']",105,7.4,59,586106,74
253,The Wolverine,2013,PG-13,"['Action', ' Sci-Fi']",126,6.7,61,475632,67
254,Weird Science,1985,PG-13,"['Comedy', ' Romance', ' Sci-Fi']",94,6.6,46,92391,66
255,Independence Day: Resurgence,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",120,5.2,32,183029,52
256,The Amazing Spider-Man,2012,PG-13,"['Action', ' Adventure', ' Sci-Fi']",136,6.9,66,668651,69
257,Sunshine,2007,R,"['Sci-Fi', ' Thriller']",107,7.2,64,255863,72
258,Mr. Nobody,2009,R,"['Drama', ' Fantasy', ' Romance']",141,7.8,63,238076,78
259,The Giver,2014,PG-13,"['Drama', ' Romance', ' Sci-Fi']",97,6.4,47,121697,64
260,Deep Impact,1998,PG-13,"['Action', ' Drama', ' Sci-Fi']",120,6.2,40,182529,62
261,Infinite,2021,PG-13,"['Action', ' Sci-Fi', ' Thriller']",106,5.4,28,54664,54
262,Fantastic Four,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",100,4.3,27,170722,43
263,Oblivion,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",124,7,54,535714,70
264,X-Men: Dark Phoenix,2019,PG-13,"['Action', ' Adventure', ' Sci-Fi']",113,5.7,43,193101,57
